id,link,style,location,company,area,decade,floor,direction,address,price,pricepm,education,subway,imglink
23,3_181973526.htm,3室1厅,渝中,瑞安翠湖天地,156.8,2017,中层,南向,化龙桥-化龙桥永嘉路45号(企业天地旁),340,21684,false,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_5/31/M9/57/6fa8226f73f745f8aa3f6c8e77f3233b/220x165c.jpg
24,3_187252365.htm,2室2厅,渝中,协信阿卡迪亚,68,2014,低层,南北向,大坪-高九路虎头岩黄荆社13号,95,13971,false,0,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/14/M19/56/b19694244fa34c08b0c174f8d46ea38b/220x165c.jpg
25,3_187231799.htm,4室2厅,渝中,重庆天地雍江艺庭,209,2011,中层,南北向,化龙桥-瑞天路138号,509,24354,false,0,http://img11.soufunimg.com/viewimage/agents/2018_10/27/M18/10/2F/ChCE4lvUAA6IW__xAAI-LCYIxqgABG1lwOhNKYAAj5E666/220x165c.jpg
26,3_187303974.htm,2室1厅,渝中,兰波红城丽景,60,2012,中层,南向,大坪-长江二路39号,80,13333,false,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/16/M20/19/c6d03b7381784899be8bcaa37910653e/220x165c.jpg
27,3_185777212.htm,2室2厅,渝中,宝香居,66,2011,中层,南向,大坪-大坪九坑子虎头岩车站向前1000米康翔花园前,93,14091,true,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_9/8/M10/45/5b4b7702b9e04c5b984ef3ba4edb9f47/220x165c.jpg
28,3_186331285.htm,1室1厅,渝中,凯瑞大厦,47,2002,高层,南向,解放碑-重庆市渝中区储奇门药材市场后面,75,15957,false,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_10/11/M19/5/8f174848e48a471087330ff0e3c92bc1/220x165c.jpg
29,3_186545925.htm,1室2厅,渝中,协信公馆,107,2013,中层,东向,一号桥-胜利路132号,205,19159,true,2,http://cdnsfb.soufunimg.com/viewimage/1/2018_10/18/M17/13/5243dc3c0f3b49faaf079ccbafea5d33/220x165c.jpg
30,3_187244288.htm,2室1厅,渝中,双钢路小区,59,1999,低层,东南向,一号桥-一号桥双钢路,96,16271,true,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_10/27/M17/58/1b41a47eb98344eb92d6756b08a25854/220x165c.jpg
31,3_187036037.htm,2室1厅,渝中,康田国际,45.88,2009,中层,东南向,一号桥-重庆市渝中区黄花园双钢路(两江丽景旁),70,15257,false,2,http://img11.soufunimg.com/viewimage/agents/2018_11/06/M06/10/5E/ChCE4Vvg9zSIAr95AADF42R6i80ABHIKgBq8k8AAMX7355/220x165c.jpg
32,3_187404137.htm,3室2厅,渝中,瑞安翠湖天地,134.55,2017,中层,西北向,化龙桥-化龙桥永嘉路45号(企业天地旁),285,21182,false,1,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/9/M15/28/fd23cceda9c5480ca010e5901f6097b3/220x165c.jpg
33,3_187273705.htm,3室2厅,渝中,来福士广场住宅,210,2018,中层,南向,朝天门-重庆市渝中区朝天门广场,640,30476,false,0,http://cdnsfb.soufunimg.com/viewimage/1/2018_4/29/M10/13/8919a78016194bebb5288122b0bc3a41/220x165c.jpg
34,3_186784258.htm,1室1厅,渝中,江岚雅社,56,2007,高层,南向,解放碑-重庆市渝中区李子坝正街32号(桂花园加油站斜,88,15714,false,2,http://cdnsfb.soufunimg.com/viewimage/1/2018_10/26/M20/59/21098ddc2c714e2695b6f5f5021ac2cd/220x165c.jpg
35,3_183577765.htm,3室2厅,渝中,重庆天地雍江悦庭,142,2010,中层,西北向,化龙桥-化龙桥瑞天路138号(原化龙桥嘉陵路),280,19718,false,0,http://cdnsfb.soufunimg.com/viewimage/1/2018_8/9/M18/15/1a290d5fa2464c2fbb99c7a381077f66/220x165c.jpg
36,3_186434490.htm,1室1厅,渝中,韵动人家,54.36,2006,中层,东向,袁家岗-重庆市九龙坡区袁家岗转盘单行道出口处,69,12693,true,2,http://img4cq.centainfo.com/Images/20181007/030546_36f82d76-000f-4e34-9b7f-45b1d36e1984.jpg
37,3_184619704.htm,2室1厅,渝中,恒康丽景,66.34,2013,高层,东向,大坪-高九路虎头岩车站旁,105,15828,false,0,http://cdnsfb.soufunimg.com/viewimage/1/2018_8/28/M16/28/7f862c9578f540c784b62d90f0d2c50e/220x165c.jpg
38,3_186892262.htm,3室2厅,渝中,华庭锦园,85.8,2013,中层,南向,一号桥-重庆市渝中区嘉陵江滨江路132号,125,14569,false,2,http://cdnsfb.soufunimg.com/viewimage/1/2018_10/31/M10/22/fc2489fd2572480b9ca0ada92b7898ce/220x165c.jpg
39,3_185422250.htm,1室1厅,渝中,东方巴塞,40,2011,中层,东向,大坪-重庆市渝中区长江支路25号(大坪轻轨车站九坑,53,13250,false,1,http://img11.soufunimg.com/viewimage/agents/2018_09/16/M04/0F/7E/ChCE4FudwLuIE8QbAAEpJT51XLsABFwzAEDGQ8AASk9779/220x165c.jpg
40,3_185988549.htm,4室2厅,渝中,协信公馆,208,2017,高层,北向,一号桥-胜利路132号,450,21635,true,2,http://img11.soufunimg.com/viewimage/agents/2018_06/05/M0E/0D/6E/ChCE4lsWWxqIGqzLAAJtUWsdIgIABCi9gCED-4AAm1p989/220x165c.jpg
41,3_187088030.htm,3室2厅,渝中,富城大厦,148,2000,高层,南北向,解放碑-重庆市渝中区北区路14号(一号桥),168,11351,false,2,http://cdnsfb.soufunimg.com/viewimage/1/2018_11/8/M9/31/d07546bbe82c4c618155d405944ab5a9/220x165c.jpg
42,3_187115330.htm,3室2厅,渝中,协信公馆,161,2013,中层,南北向,一号桥-胜利路132号,367,22795,true,2,http://cdnsfb.soufunimg.com/viewimage/1/2018_10/25/M18/4/f49f6992f89c49259e16129a48f750b6/220x165c.jpg
43,3_187211846.htm,3室2厅,渝中,恒大名都,118,2012,中层,东南向,大坪-石油路1号,250,21186,true,1,http://img11.soufunimg.com/viewimage/agents/2018_11/13/M00/10/86/ChCE4VvqPI6ITXxOAABNJiteyecABHXrgNRoIQAAE0-794/220x165c.jpg
44,3_186773479.htm,3室1厅,渝中,瑞安翠湖天地,95,2017,中层,南向,化龙桥-化龙桥永嘉路45号(企业天地旁),160,16842,false,1,http://img11.soufunimg.com/viewimage/agents/2018_08/22/M1D/0E/F9/ChCE4Vt9QbiIU_UXAAEehIWB2gwABE8tAB1qFoAAR6c903/220x165c.jpg
45,3_186328860.htm,3室2厅,渝中,揽江雅苑,119,2015,低层,南向,化龙桥-渝中区虎山路90号,118,9916,false,0,http://cdnsfb.soufunimg.com/viewimage/1/2018_10/11/M18/4/8e6fdaceb42b499f8112c89cb9eeb91c/220x165c.jpg
46,3_186975950.htm,3室2厅,渝中,重庆天地雍江艺庭,156,2011,高层,南向,化龙桥-瑞天路138号,330,21154,false,0,http://cdnsfb.soufunimg.com/viewimage/1/2018_10/23/M17/22/9339e6d631ae4800b95677c9885eaeb7/220x165c.jpg
47,3_186161426.htm,2室2厅,渝中,万科锦程,72,2014,低层,东向,大坪-大坪正街160号,152,21111,true,1,http://img11.soufunimg.com/viewimage/agents/2018_10/06/M06/0F/D4/ChCE4lu4ZCuIVdlAAAHXwHaj48gABGSGQCUM0UAAdfY731/220x165c.jpg
48,3_187300724.htm,2室1厅,渝中,康田国际,45.88,2009,中层,东南向,一号桥-重庆市渝中区黄花园双钢路(两江丽景旁),70,15257,false,2,http://img11.soufunimg.com/viewimage/agents/2018_11/06/M06/10/5E/ChCE4Vvg9zSIAr95AADF42R6i80ABHIKgBq8k8AAMX7355/220x165c.jpg
49,3_187408469.htm,3室2厅,渝中,协信公馆,147,2013,高层,南北向,一号桥-胜利路132号,300,20408,true,2,http://img11.soufunimg.com/viewimage/agents/2018_11/08/M1F/10/6B/ChCE4lvjrZ6IQw3YAADQWA4EwOsABHNIwK1mAEAANBw849/220x165c.jpg
